Cultivo;Buenos aires;Cordoba;Santa Fe;Entre Rios;La Pampa;Chaco;Misiones;Corrientes;Formosas;Tucuman;Salta;Santiago del Estero;Jujuy;Catamarca;La Rioja;Mendoza;San Juan;San Luis;Rio Negro;Neuquén;Chubut;Santa Cruz;Tierra del fuego
Aceitunas;1.227224687;1.946032069;0;0;0;0;0;0;0;0;0;0;0;3.066369993;3.839362865;2.854243481;3.09467887;0.013028954;0;0;0;0;0
Acelga fresca;16.96903865;17.1475676;17.04165273;17.27019287;16.95497529;15.77983111;17.69332935;15.01135323;14.55506452;16.59425259;15.42841689;16.86582904;14.62788715;14.60676172;14.49844334;14.75570615;14.57521412;16.61034826;13.61434845;13.9307343;12.42738565;11.34212321;9.510204868
Ají fresco;26.70199697;26.88245574;26.77539598;27.00640654;26.6877816;25.49993465;27.43411692;24.72314988;24.26192889;26.32315965;25.1447218;26.59767172;24.33553871;24.31418491;24.20469567;24.46473937;24.28229631;26.33942931;23.31104412;23.63084995;22.1112508;21.01425717;19.16253663
Ajo;6.162826346;5.724969616;0;0;0;0;0;0;0;0;0;0;6.2471766;0;0;13.63361162;12.41782192;0;7.869634328;0;0;8.022649318;0
Alcauciles;23.53492475;23.71501796;23.60817507;23.83871767;23.52073817;22.33529744;24.26556164;21.5600862;21.09979951;23.15685483;21.98080415;23.43081083;21.17326021;21.15194967;21.04268222;21.30219915;21.12012566;23.17309153;20.15084094;20.46999894;18.95347804;17.85870658;16.01073707
Ananá;0;0;0;0;0;0;49.41771101;13.17047043;30.81909862;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apio, hinojo fresco;23.33847654;23.51854181;23.4117155;23.64222232;23.32429216;22.13903536;24.06900007;21.36394441;20.90372913;22.96046528;21.78459708;23.23437877;20.97717844;20.95587121;20.84662071;21.10609737;20.92405213;22.97669947;19.95491781;20.27402629;18.75774069;17.6631391;15.81545632
Arvejas frescas;2.944566951;3.068129115;2.994824084;3.152999629;2.934833523;2.121501249;3.445857782;1.58962791;1.273824671;2.685172739;1.878282987;2.873134269;1.324226147;1.309604962;1.234636436;1.412691301;1.287770471;2.696312761;0.622743088;0.841717767;0;0;0
Banana;0;0;0;0;0;0;19.59099444;0;25.2165331;0;21.23895585;0;19.56073923;0;0;0;0;0;0;0;0;0;0
Batata fresca;12.39233142;12.65534895;13.15586617;13.8172925;0;0;0;15.26839449;0;15.05740118;0;0;0;0;0;12.14629868;0;0;0;0;0;0;0
Berenjenas frescas;26.66005804;26.84051283;26.73345543;26.9644609;26.64584298;25.45802217;27.39216188;24.68125449;24.22004366;26.28122905;25.10281714;26.55573508;24.29365185;24.27229853;24.16281169;24.42284966;24.24041062;26.29749835;23.26917981;23.5889786;22.06941289;20.9724434;19.12076361
Cebolla común fresca;28.05149974;28.23207655;28.12494676;28.35610842;28.03727507;26.84865116;28.78409857;26.07135831;25.60983564;27.67241462;26.49320598;27.94710625;25.6834936;25.66212584;25.55256498;25.81277877;25.63021638;27.68869493;24.65832891;24.97834392;23.45775081;22.36003965;20.50710792
Cebolla de verdeo, puerro fresco;11.40612923;11.5805515;11.47707298;11.70035604;11.39238937;10.24427689;12.11375916;9.493476219;9.047683458;11.03996433;9.900946211;11.30529374;9.118830965;9.098191473;8.992364736;9.243709752;9.067369565;11.05568975;8.128606577;8.437714636;6.968947341;5.908649059;4.118870119
Cerezas, guindas frescas;1.167116553;0;0;0;0;0;0;0;0;0;0;0;0;0.731557207;0;4.19287828;1.925519606;0.658696783;3.924279671;3.979538185;4.409770731;4.644031319;0
Chauchas frescas;12.34781611;12.5233447;12.41920984;12.64390912;12.3339891;11.17859443;13.05993436;10.42303162;9.974411303;11.97932871;10.83308609;12.24634105;10.04601008;10.02523968;9.918741708;10.17168094;9.994222274;11.99515388;9.049504945;9.3605736;7.882490279;6.815466789;5.014335727
Choclo fresco;10.34738299;10.52018771;10.41766882;10.63888121;10.33377055;9.196305359;11.04845054;8.452467414;8.010808818;9.984613801;8.856158638;10.24748262;8.081296522;8.060848435;7.956003107;8.205017215;8.030312361;10.0001934;7.100255211;7.406496685;5.951350348;4.900884992;3.127703987
Ciruela;6.903879627;3.362202644;4.668432161;2.580350117;0;0;5.517228683;0;0;4.165643086;5.685508885;1.024225119;8.301475741;8.187505392;9.566714653;14.35577926;12.76125961;2.716231142;13.36137433;12.13449247;4.337554227;6.479437567;0
Coliflor, brócoli fresco;15.63199862;15.80993235;15.7043706;15.93214878;15.61798215;14.44675593;16.35387451;13.68084019;13.22607275;15.25846211;14.09651334;15.52913312;13.29865259;13.27759759;13.16964035;13.42604543;13.24615518;15.27450412;12.28849306;12.60382407;11.10548763;10.02384348;8.198032814
Damasco;2.097175149;0;0;0;0;0;0;0;0;0;2.970776421;0;0;4.04935512;8.906648008;16.40887968;12.96792046;0.106867179;6.300761268;9.920196292;7.508314293;0;0
Durazno;21.01166655;12.34838834;16.98699027;7.686562977;0;0;12.73265358;6.915899616;0;12.83067466;16.21467378;4.142136961;22.05686978;20.40547453;22.79650568;29.26169982;16.93742623;10.10663827;28.15588867;22.71875879;12.59984516;0;0
Espinaca fresca;13.26910761;13.44549751;13.34085166;13.56665354;13.25521275;12.09414858;13.98472021;11.33487823;10.88405655;12.89881205;11.74694483;13.16713461;10.95600666;10.93513433;10.82811378;11.08229418;10.90396473;12.91471487;9.954611688;10.26720675;8.781870502;7.709611146;5.899641965
Frutillas frescas;31.79508829;0;31.97315437;0;0;0;0;30.17065624;0;37.00217169;26.64475001;0;30.51111716;0;0;0;0;0;0;34.79983999;0;0;0
Hongos;51.18474057;52.27109663;54.33841092;0;57.57218174;0;0;0;0;0;0;0;0;0;0;66.05146667;0;0;71.85268115;74.96504714;0;0;0
Huevos de gallina;623730.4029;571909.1742;571909.1742;608031.0134;514862.3749;514862.3749;514862.3749;514862.3749;514862.3749;514862.3749;514862.3749;514862.3749;514862.3749;514862.3749;514862.3749;571909.1742;514862.3749;514862.3749;514862.3749;0;0;0;0
Kiwi fresco;13.30359975;0;0;3.092951891;0;0;8.598060825;0;0;5.474950028;0;0;3.723528622;0;0;0;0;0;0;0;0;0;0
Lechuga fresca;14.68526349;14.8626699;14.757421;14.98452413;14.67128856;13.50353339;15.40500004;12.73988751;12.28646782;14.31283399;13.15432877;14.58270284;12.35883257;12.33783996;12.23020267;12.48584786;12.30649073;14.32882846;11.35166674;11.66606323;10.17216726;9.093728672;7.27332897
Limón;13.98326928;0;14.84482726;25.0658457;0;0;26.79004486;34.64530707;0;46.59649521;31.16032374;0;35.10464641;19.31482636;0;0;0;0;0;0;0;0;0
